기관ID,주소,병원분류,병원분류명,응급의료기관코드,응급의료기관코드명,응급실운영여부(1/2),비고,기관설명상세,간이약도,기관명,대표전화1,응급실전화,진료시간(월요일)C,진료시간(화요일)C,진료시간(수요일)C,진료시간(목요일)C,진료시간(금요일)C,진료시간(토요일)C,진료시간(일요일)C,진료시간(공휴일)C,진료시간(월요일)S,진료시간(화요일)S,진료시간(수요일)S,진료시간(목요일)S,진료시간(금요일)S,진료시간(토요일)S,진료시간(일요일)S,진료시간(공휴일)S,우편번호1,우편번호2,lng,lat,작업시간
A1100234,"서울특별시 강남구 도산대로 202, 강남을지병원 B2~9층 (논현동)",B,병원,G099,응급의료기관 이외,2,"* 토요일 진료 없음 * 정신건강의학과 - 진료시간(평일): 09:00~18:00, 화요일: 19:00까지 진료",하지정맥류 진료만 시행,학동역 8번출구에서 도보 10분,강남을지대학교병원,1899-0001,1544-7522,1800,1800,1800,1800,1800,1500,1700,1700,830,830,830,830,830,900,1000,1000,60,47,127.0286272,37.5194081,15:11.0
A1117285,"서울특별시 강서구 가로공원로 187, 강서케이병원 (화곡동)",B,병원,G009,응급실운영신고기관,1,"응급의료기관 외의 의료기관(응급의료시설)  응급실 운영 - 골절, 외상, 척추, 관절 질환 24시간 365일 응급 진료 및 수술","강서케이병원은 응급의료기관 외의 의료기관(응급의료시설)으로 24시간 365일 응급실 운영. 야간, 공휴일에도 골절, 외상, 관절, 척추 질환의 응급 진료 및 수술이 가능합니다.  골절, 외상, 관절, 척추 질환을 전문으로 하며  3.0T MRI, 1.5T MRI, CT, X-ray, 초음파 등 전문 진단 장비를 갖추고 있습니다.","화곡역 6번 출구, 가로공원 사거리",강서케이병원,02-1833-7530,02-6905-8585,1800,1800,1800,1800,1800,1300,1300,1300,900,900,900,900,900,900,900,900,77,18,126.836699,37.53735762,15:11.0
A1116070,"서울특별시 강남구 도곡로 122, 제이에스빌딩 (도곡동)",B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,제대혈줄기세포를 이용한 퇴행성 관절염 치료. 축구 국가 대표팀 주치의가 관리하는 스포츠 손상. 정형외과 전문의가 진료합니다.,학동역 8번출구,강남제이에스병원,02-533-3600,1544-7522,1730,1730,1730,1730,1730,1230,1700,1800,900,900,900,900,900,900,1000,900,62,59,127.0337223,37.48992307,15:11.0
A1124327,"서울특별시 송파구 송이로 81, 지하2~지상7층 (가락동)",B,병원,G099,응급의료기관 이외,2,"2,4주 토요일 휴진 / 점심시간 12:30~14:00","미용성형만, 쁘띠성형",교대역 14번 출구 거북빌딩 3층,리워크병원,02-501-1652,02-829-9129,1800,1800,1800,1800,1800,1400,1630,1800,900,900,900,900,900,900,1030,1000,57,6,127.120406,37.49877775,10:18.0
A1124303,서울특별시 중랑구 동일로 890 (묵동),B,병원,G099,응급의료기관 이외,2,휴게시간 13:30-14:30,"안녕하세요 마디로한의원 송파거여점입니다. 5호선 거여역 7번 출구 바로 앞에 위치해 편하게 오실 수 있습니다. 저희 한의원은 특수한 침인 도침을 활용하여 협착증, 디스크, 무릎관절염, 어깨 통증, 교통사고 후유증 등을 진료하고 있습니다. 한의사가 한분 한분 꼼꼼하게 치료해드립니다.",선릉역 2번 출구,마디세상병원,02-978-8575,02-829-9129,1800,2000,1800,2000,1800,1300,1400,1300,900,900,900,900,900,900,830,900,20,38,127.0781892,37.60991516,11:02.0
A1123782,"서울특별시 송파구 송이로 81, 지하2~지상7층 (가락동)",B,병원,G099,응급의료기관 이외,2,"2,4주 토요일 휴진 / 점심시간 12:30~14:00","다시 켜는 아름다움, 리온한의원 입니다. 각종 패인 흉터/ 여드름/ 여드름 자국/ 모공각화증 등의 피부 질환을 중점적으로 진료합니다.",교대역 14번 출구 거북빌딩 3층,리워크병원,02-407-3375,02-829-9129,1800,1800,1800,1800,1800,1400,1500,1700,900,900,900,900,900,900,1000,1300,57,6,127.1204037,37.49877505,55:40.0
A1121013,서울특별시 은평구 통일로 1021 (진관동),A,종합병원,G006,지역응급의료센터,1,휴게시간 13:00~14:00,저희 치과는 임플란트 보철 사랑니수술 등 치아에 관련된 모든 치료가능합니다(교정과도 같이 있음),샛강역 3번 출구,가톨릭대학교은평성모병원,02-1811-7755,02-1811-7755,1700,1700,1700,1700,1700,1200,1600,1600,830,830,830,830,830,830,1000,1000,33,12,126.9161505,37.63360841,15:10.0
A1100091,서울특별시 동대문구 천호대로83길 44 (장안동),B,병원,G099,응급의료기관 이외,2,8/15 광복절 휴무,점심시간: 오후 12시 30분 ~ 오후 13시 30분,장한평역 2번출/동대문소방서 맞은편,맑은수병원,02-2681-0119,1661-1177,1800,1800,1800,1800,1800,1300,1800,1800,900,900,900,900,900,900,900,900,26,36,127.0655465,37.56388393,15:13.0
A1100154,"서울특별시 강남구 삼성로 646, 마디빌딩, 지하1층~3층, 지상1층~9층 (삼성동)",B,병원,G099,응급의료기관 이외,2,"가정의학과토요일 휴진/가정의학과나이제한없음/어깨관절,발목관절대표번호1 지역번호 추가20170118150453","일요일과 공휴일에도 진료하는 마디로한의원 송파거여점입니다. 5호선 거여역 7번 출구 바로 앞에 위치해 편하게 오실 수 있습니다. 저희 한의원은 특수한 침인 도침을 활용하여 협착증, 디스크, 무릎관절염, 어깨 통증, 교통사고 후유증 등을 진료하고 있습니다. 2명의 한의사가 한분 한분 꼼꼼하게 치료해드립니다.",청담역 6번 출구,마디병원,02-2056-8000,02-829-9129,1800,1800,1800,1800,1800,1300,1400,1400,900,900,900,900,900,900,900,900,60,84,127.0511693,37.51768714,55:02.0
A1123783,"서울특별시 송파구 백제고분로 252, SH타워 2~8층 (삼전동)",B,병원,G099,응급의료기관 이외,2,점심시간 13:00~14:00,"척추,관절통증,대상포진,두통 관련하여  도수치료,주사치료 ,물리치료로  다양하게 진료 치료 합니다.",2호선 구로디지탈단지역 1번출구에서 구로디지탈단지역교차로에서 디지탈단지입구 교차로 사이,바른걸음병원,02-6223-8275,02-2007-1118,1800,1800,1800,1800,1800,1300,1530,1530,900,900,900,900,900,900,930,930,55,84,127.0942968,37.50234558,56:07.0
A1100001,서울특별시 동대문구 경희대로 23 (회기동),A,종합병원,G006,지역응급의료센터,1,"10/1 (화) 임시공휴일, 10/3 (목) 개천절 : 09:30-13:00",서울대입구역 2번 출구 100 미터 이내입니다 . 지하2층에 주차장 있읍니다 .,숭실대입구역 3번출구 레미안3차단지상가 301호,경희대학교병원,02-958-8114,02-958-8114,1730,1730,1730,1730,1730,1230,1800,1500,830,830,830,830,830,900,900,1000,24,47,127.0518322,37.59387655,15:11.0
A1117473,"서울특별시 서대문구 수색로 18, 2~5층 (남가좌동, 영보웨딩부페)",B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,저희 치과는 임플란트 보철 사랑니수술 등 치아에 관련된 모든 치료가능합니다(교정과도 같이 있음),가좌역 4번 출구,가자연세병원,02-304-5660,,1830,1830,1830,1830,1830,1400,1400,1400,900,900,900,900,900,900,1000,930,37,12,126.9166044,37.56899484,15:10.0
A1100258,서울특별시 송파구 삼전로2길 11 (삼전동),B,병원,G099,응급의료기관 이외,2,"응급환자 진료 365일, 24시간 진료   08/15 광복절 휴무","손가락 및 발가락 절단 및 외상 진료 안면부 외상 진료, 수지접합수술,도수치료, 재활치료",7호선 강남구청역 2번출구,강남수병원,02-421-7100,1544-7522,1700,1700,1700,1700,1700,1200,1400,1400,900,900,900,900,900,900,900,900,55,94,127.0861578,37.50134024,15:11.0
A1100011,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",A,종합병원,G006,지역응급의료센터,1,휴게시간 13:00~14:00,저희 치과는 임플란트 보철 사랑니수술 등 치아에 관련된 모든 치료가능합니다(교정과도 같이 있음),샛강역 3번 출구,가톨릭대학교여의도성모병원,02-1661-7575,02-3779-1199,1700,1700,1700,1700,1700,1200,1600,1600,900,900,900,900,900,900,1000,1000,73,45,126.9367313,37.51827234,15:10.0
A1100103,서울특별시 강동구 올림픽로 734 (천호동),B,병원,G099,응급의료기관 이외,2,"2,4주차 토요일 12시 30분 이후 및 일요일은 휴진입니다.",주말 및 공휴일 진료시에도 정형외과 전문의 진료 가능.,암사역2번출구 전방300m,강동연세병원,02-1899-0102,02-440-7000,1900,1900,1900,1900,1900,1300,1700,1700,900,900,900,900,900,900,900,900,53,23,127.1266263,37.54676105,15:11.0
A1100208,"서울특별시 중랑구 망우로 373 (상봉동, 서울선병원)",B,병원,G099,응급의료기관 이외,2,토요일 점심시간없이 진료,척추 관절 전문,"중앙선 망우역 1번출구, 7호선 상봉역 2번출구",서울선병원,02-436-1900,02-2072-2475,1800,1800,1800,1800,1800,1300,2300,2300,900,900,900,900,900,900,900,900,20,86,127.0936258,37.5986247,46:31.0
A1100002,서울특별시 광진구 능동로 120-1 (화양동),A,종합병원,G006,지역응급의료센터,1,점심시간:13~14시,건강제일의료소비자생활협동조합,"건대입구역 3,4번 출구",건국대학교병원,1588-1533,02-2030-5555,1730,1730,1730,1730,1730,1230,1400,1400,830,830,830,830,830,830,1000,1000,50,30,127.0721229,37.54084479,15:11.0
A1100058,"서울특별시 강남구 언주로 327, 지하1층, 2~7층 (역삼동)",B,병원,G099,응급의료기관 이외,2,"월, 토요일 격주진료",토요일 격주진료,신분당선 강남역4번출구에서 뱅뱅사거리 방향,서울안강병원,02-1899-3210,02-966-1616,1720,1720,1720,1720,1720,1400,1330,1300,820,820,820,820,820,1000,900,900,62,26,127.0449782,37.49708719,10:12.0
A1100039,"서울특별시 송파구 송이로 123, 국립경찰병원 (가락동)",A,종합병원,G007,지역응급의료기관,1,응급의료센터 - 24시간 진료,"보건복지부 지정 추나요법 시범사업기관입니다. 침, 한약, 추나, 면역약침등의 한의학적 치료방법을 이용하여 환자의 질병상태들 진단하고 치료합니다.","경찰병원역 1,2번 출구",경찰병원,02-3400-1114,02-3400-1300,1730,1730,1730,1730,1730,1230,1600,1600,900,900,900,900,900,900,930,930,57,15,127.1234879,37.49641321,15:11.0
A1117714,서울특별시 노원구 동일로 996 (공릉동),B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,주간 운영. 관절 척추 병원,7호선 태릉입구역 4번 출구,강북연세병원,02-2092-5505,02-2001-1000,1800,1800,1800,1800,1800,1400,1500,1500,900,900,900,900,900,900,800,800,18,49,127.0754877,37.61919557,15:11.0
A1100221,"서울특별시 강남구 봉은사로114길 43, 지하1층~4층 (삼성동)",B,병원,G099,응급의료기관 이외,2,접수마감은 16:30 까지,응급결핵환자는 휴일없이 24시간 접수가능함,삼성역 8번 출구,서울특별시서울의료원강남분원,02-3430-0238,02-2276-7403,1730,1730,1730,1730,1730,1800,1300,1600,900,900,900,900,900,1500,900,900,61,71,127.0666576,37.51303024,55:56.0
A1124600,"서울특별시 관악구 은천로 51 (봉천동, 2,3,4,5,6층)",B,병원,G099,응급의료기관 이외,2,"일요일 , 공휴일 휴무 입니다",장애복지카드 소지자에 한에 진료/ 일반인진료X/ 할인혜택 서울시거주자만/,신논현역 2번출구에서 논현역 방향,서울퍼스트병원,02-882-6900,02-2276-7403,1800,1800,1800,1800,1800,1300,1400,1600,900,900,900,900,900,900,930,900,87,16,126.9412002,37.48628516,56:19.0
A1100158,"서울특별시 강서구 공항대로 315 (등촌동, 서울시니어강서타워)",B,병원,G099,응급의료기관 이외,2,"점심 12:30~13:30 내과는17시까지만진료/대장항문 전문 19시까지, 항문외과 관련은 24hr on call 이용에 참고하시기 바랍니다. 08/15 광복절 휴무",점심시간 13:00~14:00 (토요일 점심시간 없음) 일요일 및 공휴일 휴진,발산역 4번 출구,강서송도병원,02-2660-3900,02-986-0334,1900,1900,1900,1900,1900,1400,1500,1500,900,900,900,900,900,900,900,900,75,91,126.8427912,37.55849862,15:11.0
A1100261,서울특별시 영등포구 영신로 136 (영등포동4가),B,병원,G099,응급의료기관 이외,2,"예약제로 운영, 점심시간 14-15시",건강제일의료소비자생활협동조합,영등포 타임스퀘어 뒷편/당산신동아파밀리에아파트 맞은편,건양의료재단김안과병원,1577-2639,02-2030-5555,1700,1700,1700,1700,1700,1230,1230,1230,830,830,830,830,830,830,830,830,73,1,126.9014841,37.51973611,15:11.0
A1100047,서울특별시 관악구 관악로 242 (봉천동),B,병원,G009,응급실운영신고기관,1,응급실진료 07:00-24:00 08/15 광복절 휴무,화요일 야간진료 예약시 21시까지,서울대입구역 7번 출구 도보 5분,강남고려병원,1661-8267,02-874-7227,1800,1800,1800,1800,1800,1300,1600,1600,900,900,900,900,900,900,1000,1000,87,35,126.9567817,37.48561884,15:10.0
A1126146,"서울특별시 송파구 오금로 173, 지하1층~지상6층 (방이동)",B,병원,G099,응급의료기관 이외,2,"점심시간 13:00~14:00 둘째,넷째주 목요일 2시부터 진료시작","허리, 관절, 통증등 비수술 전문 치료",엄마손백화점 옆/팜코리아약국 건물,송파한성병원,02-6949-6670,02-737-0181,1800,1800,1800,1800,1800,1300,1700,1700,900,900,900,900,900,900,900,900,56,41,127.1138216,37.50971734,15:21.0
A1100204,"서울특별시 강서구 강서로56길 38, 강서힘찬병원 (등촌동)",B,병원,G099,응급의료기관 이외,2,점심시간 13:00~14:00 공휴일/일요일 휴진,"정신질환치료병원,야간입원 가능","발산역 3,4번 출구",강서힘찬병원,02-1899-2228,02-6905-8585,1800,1800,1800,1800,1800,1300,1300,1400,900,900,900,900,900,900,900,900,75,91,126.8406689,37.55919296,15:11.0
A1100014,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",A,종합병원,G001,권역응급의료센터,1,점심시간 13:00~14:00,"야간진료  - 월~금: 20시까지, 토: 17시까지",구로구청 인근,고려대학교의과대학부속구로병원,02-2626-1114,02-2626-1550,1730,1730,1730,1730,1730,1200,1600,1600,900,900,900,900,900,900,1030,1030,83,8,126.8847449,37.49211115,15:12.0
A1121028,"서울특별시 강남구 도곡로 212, 지하2층,지상4~8층 (도곡동)",B,병원,G099,응급의료기관 이외,2,소아(6세이상)/봉합(구강외과)/턱관절,3째주 토요일 휴진,명진빌딩 3층,예작병원,1577-7565,02-2019-3333,1830,1830,1830,1830,1830,1530,1800,1700,930,930,930,930,930,930,1400,900,62,72,127.042255,37.49237963,55:08.0
A1117826,"서울특별시 중랑구 면목로 310, 4,5,6,7층일부층 (면목동)",B,병원,G099,응급의료기관 이외,2,점심시간 12시30분~13시30분,"척추, 관절, 뇌신경, 내과, 건강검진/ 도수치료, 운동치료, 물리치료 점심 12:30~13:30",사가정역인근,서울정병원,02-435-5800,02-2002-8888,1800,1800,1800,1800,1800,1300,1300,1830,900,900,900,900,900,900,800,830,22,49,127.0879747,37.57963604,15:26.0
A1100056,서울특별시 중구 서애로1길 17 (묵정동),B,병원,G099,응급의료기관 이외,2,"(한방중풍 전문병원)응급환자 야간진료, 30분전 접수마감",점심시간 (12:30 ~ 13:30),묵정아파트 인근,의료법인제일의료재단제일병원,02-2000-7114,02-2632-0013,1730,1730,1730,1730,1730,1130,2200,2200,800,800,800,800,800,800,900,900,46,19,126.9992851,37.56136523,55:12.0
A1100064,서울특별시 중랑구 면목로 473 (상봉동),B,병원,G099,응급의료기관 이외,2,"일요일, 공휴일 휴무  08/15 광복절 휴무",척추.관절.내과.건강검진병원,상봉역4번출구,강북21세기병원,1577-6336,02-440-7000,1800,1800,1800,1800,1800,1400,1600,1600,900,900,900,900,900,900,1000,1000,21,38,127.0856314,37.59404842,15:11.0
A1100171,서울특별시 광진구 천호대로 568 (능동),B,병원,G099,응급의료기관 이외,2,점심시간 13:00~14:00,예약제운영,군자역 5번 출구,연세무척나은병원,02-3425-8200,02-2227-7777,1800,1800,1800,1800,1800,1300,1700,1700,900,900,900,900,900,900,1000,1000,49,85,127.0808988,37.55626297,15:31.0
A1100043,서울특별시 강동구 동남로 892 (상일동),A,종합병원,G001,권역응급의료센터,1,점심시간 13:00~14:00,관악구 봉천동 187병상 투석 가능한 요양병원입니다.,고덕역 4번 출구,강동경희대학교의대병원,02-440-7114,02-440-7000,1730,1730,1730,1730,1730,1200,1600,1600,830,830,830,830,830,830,900,900,52,78,127.1570848,37.55204593,15:11.0
A1100006,서울특별시 종로구 새문안로 29 (평동),A,종합병원,G006,지역응급의료센터,1,휴게시간 13:00~14:00,"일요일 및 공휴일 진료 개시, 강북구 소재, 수면다원검사, 어지럼증, 귀코목진료, 청각장애진단, 보청기, 양압기 대여, 이비인후과 6인의 의료진",서대문역 4번 출구,강북삼성병원,02-2001-2001,02-2001-1000,1700,1700,1700,1700,1700,1230,1300,1300,830,830,830,830,830,830,900,900,31,81,126.9679381,37.56849763,15:11.0
A1100076,"서울특별시 관악구 남부순환로 1449, 강남힐병원 (신림동)",B,병원,G009,응급실운영신고기관,1,"24시간 응급실 운영 내과/검진센터 2, 4주 토요일 휴진",관악구 봉천동 187병상 투석 가능한 요양병원입니다.,2호선 신대방역/난곡사거리 인근,강남힐병원,02-853-4600,02-853-9100,1800,1800,1800,1800,1800,1300,1600,1600,900,900,900,900,900,900,900,900,87,67,126.9116481,37.48165134,15:11.0
A1120078,서울특별시 강동구 천호대로 1151 (길동),B,병원,G099,응급의료기관 이외,2,평일 당직의 진료 : 18시~20시 / 토요일 당직의 진료 : 15시~17시,산부인과 병원입니다.,길동사거리 부근,고은빛여성병원,02-1577-0082,02-2626-1550,2000,2000,2000,2000,2000,1400,1300,1300,900,900,900,900,900,900,1000,1000,53,56,127.1393358,37.53415608,15:12.0
A1100018,"서울특별시 강남구 도곡로 429 (대치동, 베스티안병원 2층일부 제외)",A,종합병원,G009,응급실운영신고기관,1,"지역응급의료기관 취소(자진반납, 2018.06.01.)",보건복지부지정 화상질환 전문병원 및 종합병원 - 응급실에서는 화상진료 및 드레싱위주로 진료합니다. 내과는 진료가능여부 확인 후 방문해주세요,한티역 2번출구,재단법인베스티안재단베스티안서울병원,02-3452-7575,070-7609-9902,1800,1800,1800,1800,1800,1300,1500,1500,900,900,900,900,900,900,900,900,62,8,127.0572671,37.49807127,53:31.0
A1100229,"서울특별시 서대문구 신촌로37길 10, 우리내일병원 지하4층~지하1층 ,4층~10층호 (북아현동)",B,병원,G099,응급의료기관 이외,2,"정형외과 월~금 오전 9시~오후 7시, 토요일 오전 9시~오후 3시 /  한방과 월~금 오전 9시~ 오후 8시30분, 토요일 오전 9시~오후 3시 /  내과 월~금 오전 9시~오후 6시, 토요일 오전 9시~오후 3시 /  치과 월요일, 목요일  오전 9시~ 오후 8시 30분, 화,수,금 오전 9시~ 오후 6시, 토요일 오전 9시~오후 1시",척추 관절 정형외과 수술병원.,아현역 2번 출구,의료법인 원중의료재단 우리내일병원,02-1600-7512,02-388-0119,1800,1800,1800,1800,1800,1300,1300,1300,900,900,900,900,900,900,900,900,37,58,126.9570019,37.55770923,55:51.0
A1119924,서울특별시 성동구 왕십리로 269 (행당동),B,병원,G099,응급의료기관 이외,2,내과 금요일 오후 진료없음 08/15 광복절 휴무,"99세까지 88하게..  관절 척추 병원입니다. 내과, 건강검진, 영상의학과, 마취통증의학과 운영중입니다.",서울지하철 2호선 왕십리역 9번 출구 좌측으로 도보 300M  이내에 9988병원 위치하고 있습니다.,9988병원,02-2297-9988,,1800,1800,1800,1800,1800,1300,2200,2200,900,900,900,900,900,900,900,900,47,45,127.0374791,37.55860571,15:10.0
A1100254,서울특별시 동작구 상도로 146 (상도동),B,병원,G099,응급의료기관 이외,2,"* 외래진료시간(월~금: 09:00~18:00, 토: 09:00~13:00)이후에는 응급(야간)진료실 운영","국가유공자 보훈지정병원,한방병원협진",7호선 장승배기역 3번출구 200m,의료법인성석의료재단동작경희병원,02-822-8112,070-4665-9119,1800,1800,1800,1800,1800,1300,1300,1300,900,900,900,900,900,900,900,900,69,59,126.935867,37.50248267,56:05.0
A1116845,"서울특별시 송파구 백제고분로 407 (송파동, 지하 2층~7층)",B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,관악구 봉천동 187병상 투석 가능한 요양병원입니다.,석촌역 2번 출구,강남힘찬병원,1899-2225,02-853-9100,1800,1800,1800,1800,1800,1300,1600,1600,900,900,900,900,900,900,900,900,56,21,127.1098847,37.50759335,15:11.0
A1100112,"서울특별시 강북구 한천로 1083, 수유동 (수유동, 광산타워)",B,병원,G099,응급의료기관 이외,2,평일 점심시간 12:30~13:30,"점심시간 : 13시~14시(평일, 토요일 동일)",광산사거리 인근,강북우리병원,02-6222-1000,02-2001-1000,1800,1800,1800,1800,1800,1300,2000,1830,900,900,900,900,900,900,1000,930,10,70,127.0226341,37.64254488,15:11.0
A1100217,"서울특별시 송파구 올림픽로 579, 서울초이스병원 지하2층~지상5층 (풍납동)",B,병원,G099,응급의료기관 이외,2,점심시간 12:30~13:30 한방 진료시간: 09:00~21:00 양방 진료시간: 09:00~18:00,"점심 평일 12:10~13:30 접수마감: 평일 18:00, 토요일 14:00","강동구청역 5번출구 5분거리, 서울풍납동 우체국 옆",의료법인정애의료재단서울초이스병원,02-473-0620,02-905-9110,1800,1800,1800,1800,1800,1300,2100,1600,900,900,900,900,900,900,900,900,55,20,127.1212097,37.53373873,10:27.0
A1121842,"서울특별시 강북구 도봉로 187, 지하1층, 지상1층~지상5층 (미아동)",B,병원,G009,응급실운영신고기관,1,점심시간 오후1시~2시 365일 24시간 응급실 운영,"24시간 진료 정형외과 수술가능(골절, 수지접합등)",답십리 사거리와 전농동 사거리 사이,강북으뜸병원,02-986-0334,02-986-0334,2000,1800,1800,2000,1800,1300,2000,1830,900,900,900,900,900,900,1000,930,11,70,127.0261845,37.62542056,15:11.0
A1100033,서울특별시 중구 마른내로 9 (저동2가),A,종합병원,G007,지역응급의료기관,1,"산부인과 진료시간 기준, 산부인과 응급진료 및 분만은 24시간 가능합니다.","안녕하세요 잠실역 9번출구 옆 인애한의원입니다. 항상 정성을 다해 치료하고 있습니다.  본원은 일반 근 골격 통증 및 침구치료, 약침, 추나치료를 위주로 하고있으며,  그외 여성질환, 자동차보험치료, 피부질환치료, 산후관리, 두통및 위장치료를 주로 하고 있습니다.  예약문의 02-2042-7582 카카오ID : Bphani",을지로3가역 12번 출구,인제대학교서울백병원,02-2270-0114,02-2270-0119,1700,1700,1700,1700,1700,1200,1300,1300,830,830,830,830,830,900,900,900,45,51,126.9888453,37.56507317,56:06.0
